zh-CN,
NyantopiaFirstEvent_Start_desc,你穿越小巷，微微湿润的古老石板路稳重地托起你静悄悄的脚步。小巷的尽头霎然变得开阔，你踩在铺路石边缘一丛青苔上踉跄了一下，发现自己来到一个广场。<br>广场周围一间间风格各异的店铺挤挤挨挨地靠在一起——当然，已经全部打烊了。夜雾让路灯暖黄的光线变得朦胧，像水彩纸上洇开的颜料。你看不太清店铺的招牌，但行人道内侧有不少被整整齐齐倒扣在桌面上的餐椅。你由那片微型椅子腿森林推测这里应该有不少餐厅。<br>你的肚子突然咕噜噜叫了一声，这让你后知后觉地意识到饥饿正从你胃里伸出它尖利的小爪子。意外来到陌生地点的兴奋与疑惑迟钝了你的感官，让你刚刚短暂地忽略了自己饥寒交迫的处境。<br><br>饥饿驱使你采取下一步行动。<br><br>
NyantopiaFirstEvent_Start_option1,凑近店铺橱窗观察
NyantopiaFirstEvent_Start_option2,走近行人道试图寻求帮助
NyantopiaFirstEvent_Shopwindow_desc,你径直走过夜晚安静的广场，来到离你最近的一家面包店门前。门面旁的黑暗中似乎有亮晶晶的猫眼一闪而过，你听见野猫跳上垃圾箱盖的金属闷响。<br>店门口的招牌小黑板上写着“今日特供：熏鲑鱼三明治”，旁边用粉笔画着一个张嘴傻笑的三明治，线条生动简洁。你看了看面包胚里用粉红色粉笔勾勒出的熏鱼肉，不禁咽了口口水。<br>店里熄了灯，你一边把脸贴在凉凉的玻璃橱窗上，眯着眼往店里瞧，一边盘算着能不能拿身上的什么小玩意儿和店主换点吃的。店里乳白色的货架和玻璃橱在阴影中影影绰绰，路灯投下的亮白方块里，一只被做成猫咪形状的挂钟煞有其是地晃动着猫尾钟摆。<br>正当你站在咖啡色门垫上望着黄铜门铃踌躇着要不要吵醒店主时，你听到身后传来一个柔和的声音。<br><br>
NyantopiaFirstEvent_Shopwindow_option1,回头
NyantopiaFirstEvent_Lookback_desc,你转过身去，看见一位抱着一只热腾腾纸袋的娇小女性。<<he>>有着草莓红的眼睛，黑发绾在脸颊两侧，在昏暗的光线里闪烁着丝缎般的光泽。“你好，我想……或许你需要帮助？”<<he>>走近你，轻声询问道。<br>你不确定是否应该回应一个陌生人的搭话，但是<<he>>身上有一种奇异的亲和力——<<he>>的面容清秀稚美，看着你的眼神却有一种经历过时光沉淀的温柔关切，以至于你无法判断出<<he>>的真实年龄。<br><br>
NyantopiaFirstEvent_Lookback_option1,含糊其辞
NyantopiaFirstEvent_Lookback_option2,吐露你的处境
NyantopiaFirstEvent_Deceive_desc,你觉得一个陌生人大抵不会相信时空穿越之类的说辞，而随意相信一个陌生人也不会有什么好下场，于是你试图编点什么糊弄过去。<br><<he>>在你试图解释为什么在这个时间出现在这里时一言不发，只是温和而专注地静静看着你。在耐心地等你编完谎话之后，<<he>>从纸袋子里拿出一只热乎乎、圆胖胖的咖喱餐包递给你。“真抱歉，这个点只有便利商店里微波炉加热过的点心了，别嫌弃。你看起来饿坏了。”<br>热乎乎的食物香气让你忍不住抽动了一下鼻尖，你的肚子跟着发出老大一声叫唤。你感到你的脸颊滚烫起来，但<<he>>体贴清了清嗓子，装作什么也没有听见。你感激地接过餐包大口大口地吃了起来。<br>粗糙而简单的美味，你的胃感到暖洋洋的。陌生人微笑着看着你狼吞虎咽，<<he>>的笑容让你感到身体里涌出更多暖意。<br>“别介意，但我看得出来，你似乎没地方可以落脚。不嫌弃的话，暂时住到我们那儿吧。”<br>尽管<<he>>表现得如此温柔亲切，但是你仍无法确定这个神秘的陌生人是否值得相信。不过这确实是个转机——找个地方先安顿下来，然后再做打算。毕竟眼下身无分文地在这个陌生的小城里孤身一人，你似乎也没有更好的去处了。<br><br>
NyantopiaFirstEvent_Deceive_option1,跟着<<he>>走
NyantopiaFirstEvent_Confess_desc,你觉得情况已然不可能更糟，而且面前这位神秘的陌生人看起来比你以往认识的所有人都更友善可信。你向<<he>>坦白了你目前口袋空空又无处可去的状况。<br><<he>>皱着眉同情地点了点头，没有思索太久就开口建议道：“既然这样，你要不要先到我们那儿落脚？我们还有个小一点的空房间，在找到其他更好的去处前，你都可以和我们呆在一起。”<<he>>的态度坦率自然，仿佛每周都能在深夜的广场上捡到半打来历不明的流浪者。<br>你看着面前看似毫无威胁的美丽陌生人，心中有些摇摆，不敢相信这从天而降的幸运。但你眼下身无分文地在这个陌生的小城里孤身一人，似乎也没有更好的去处了。<br><br>
NyantopiaFirstEvent_Confess_option1,跟着<<he>>走
NyantopiaFirstEvent_Follow_desc,你跟在<<he>>身后。<<he>>的步子小而轻快，时不时微微偏过头确认你有没有好好跟上。<br><<he>>领着你来到广场西面一幢温馨的小房子前，从外衣的口袋里掏出钥匙。这幢双层小屋有着漂亮的砖红色房顶和淡蓝色遮阳帘，门口长方形花坛里，长势喜人的淡粉小花在夜风中摇晃着。<br>“请进来吧，”<<he>>打开了门，“似乎忘了自我介绍，你叫我宫子就好。”<br>你进了门，感觉暖融融的甜蜜空气扑上脸颊——似乎是青草味的香薰。宫子打开了门边的小灯，你借助暖黄灯光看清，门边的雨伞架里装着一把素雅的油纸伞和一把带着猫耳朵的粉红儿童伞，玄关的地垫上拿毛毡戳着两个有点粗糙的简笔画小人。你分辨出，那个有着草莓红眼睛的应该是宫子，<<he>>的旁边贴着另一个绿眼睛黑卷发的女孩。<br>“请小声点，我的妹妹这个点应该已经睡着了，我明天再向你介绍<<he>>。”宫子凑近你，压低声音说道。你的耳畔感受到<<he>>说话间微弱的温热吐息。“来吧，我带你去你的房间。”<br><br>
NyantopiaFirstEvent_Follow_option1,继续
NyantopiaFirstEvent_Continue1_desc,你跟着宫子摸黑走过光洁的木质地板，<<he>>领着你上了楼，带着你来到二楼靠内侧的一扇门前。“二楼没有浴室，如果想要洗澡的话就得去一楼。”宫子一边细声细气地向你说明，一边拿钥匙打开了房门。<br>一间贴着青苹果绿墙纸的温馨小房间出现在你面前。房间打扫得很干净，临街的一面有一个显眼的大窗台，挂着米白色的窗帘。窗台上有一盆吊兰，叶子已经快垂到地上了。房间里只有一张简单的木床和一只五斗柜，中央摆着一只矮几和几个圆形的手工坐垫。<br>你在宫子的示意下走进了房间。<<he>>消失在门后，但很快又抱着毛线毯和枕头走进来。“地方不怎么宽绰，但还算舒适，希望你可以好好休息一下。你应该累坏了吧？”<<he>>麻利地三下五除二替你铺好了床，把枕头拍得胖胖软软地靠在床头。<br>你谢过<<he>>，<<he>>微笑着向你点点头，“厨房在楼梯靠右手边，往小花园走的那个方向。明早你起来后可以到厨房来和我们一起吃早饭。”<<he>>犹豫了一会，上前来伸出手，温柔地拍了拍你的头，你感觉那只手是如此暖和而柔软，“别担心，这里很安全。晚安！”<br>宫子在离开前贴心地替你把房间的顶灯调暗了一档，并轻轻带上了门。<br>短时间内发生的事情太多，你一时无法消化。宫子替你铺好的床看起来非常柔软，你无法抵挡地躺了上去。<br>你的眼皮越来越沉……<br><br>
NyantopiaFirstEvent_Continue1_option1,继续
NyantopiaFirstEvent_Continue2_desc,你睡醒后感到精力充沛。这时天已经大亮了，清晨的阳光和街道上早起的商户们作着营业准备的响动一起映入房间。你下床拉开了窗帘，探头向外张望。<br>昨天夜里安静沉默的小城此时睡眼朦胧地梳洗着。商户们忙着打扫店铺，擦亮橱窗。各色遮阳帘在晨风中舒展地微微起伏着，像五颜六色的蝴蝶振翅。你看到昨天张望过的那家面包店，店主人走出来重新书写了招牌小黑板的内容。今天的特色推荐会是什么呢？<br>你意识到自己在不知不觉中似乎已经被这座小城惬意亲切的氛围感染了。想起昨晚入睡前宫子告诉你她们会在厨房里吃早餐，你赶忙回过神来，简单收拾好床铺。<br><br>
NyantopiaFirstEvent_Continue2_option1,下楼到厨房
